Type;FPL1026;
Version;1.90SP1;
Date;29.Dec 2023;
Mode;ANALYZER;
Preamplifier;OFF;
Transducer;OFF;
Center Freq;1000000000.000000;Hz
Freq Offset;0.000000;Hz
Start;0.000000;Hz
Stop;2000000000.000000;Hz
Span;2000000000.000000;Hz
Ref Level;0.000000;dBm
Level Offset;0.000000;dB
Rf Att;13.000000;dB
El Att;0.000000;dB
RBW;1000000.000000;Hz
VBW;1000000.000000;Hz
SWT;0.004000;s
Sweep Count;0;
Window;1;Frequency Sweep
Ref Position;100.000000;%
Level Range;100.000000;dB
x-Axis;LIN;
y-Axis;LOG;
x-Unit;Hz;
y-Unit;dBm;
Trace;1;
Trace Mode;VIEW;
Detector;AUTOPEAK;
Values;1001;
0;-74.38330841064453125;-118.8959503173828125
2000000;-71.6485595703125;-96.82032012939453125
4000000;-70.12603759765625;-91.7480621337890625
6000000;-76.541412353515625;-97.752593994140625
8000000;-73.606231689453125;-102.33184814453125
10000000;-75.59708404541015625;-98.29625701904296875
12000000;-76.87377166748046875;-102.6471099853515625
14000000;-75.75829315185546875;-92.5806732177734375
16000000;-74.10750579833984375;-101.62813568115234375
18000000;-74.37033843994140625;-103.8587799072265625
20000000;-71.6727294921875;-98.50372314453125
22000000;-71.21903228759765625;-106.64209747314453125
24000000;-74.33864593505859375;-92.773773193359375
26000000;-71.67527008056640625;-82.6607513427734375
28000000;-74.93308258056640625;-103.5152740478515625
30000000;-74.3755645751953125;-90.218170166015625
32000000;-70.91622161865234375;-87.72371673583984375
34000000;-73.187530517578125;-86.9272308349609375
36000000;-76.66168212890625;-104.80666351318359375
38000000;-72.2379913330078125;-95.14012908935546875
40000000;-75.70110321044921875;-95.55004119873046875
42000000;-73.15048980712890625;-107.05443572998046875
44000000;-72.9014434814453125;-102.51043701171875
46000000;-72.57173919677734375;-91.54552459716796875
48000000;-75.27519989013671875;-103.66233062744140625
50000000;-75.033355712890625;-91.59560394287109375
52000000;-76.14585113525390625;-93.6529998779296875
54000000;-69.930206298828125;-92.8911285400390625
56000000;-72.37960052490234375;-102.16463470458984375
58000000;-74.797027587890625;-101.9064788818359375
60000000;-75.36273956298828125;-96.371429443359375
62000000;-72.94753265380859375;-94.484466552734375
64000000;-74.29912567138671875;-95.31714630126953125
66000000;-71.7657928466796875;-104.06603240966796875
68000000;-75.66405487060546875;-98.49945068359375
70000000;-75.31729888916015625;-91.9493560791015625
72000000;-72.76633453369140625;-89.9139404296875
74000000;-70.47599029541015625;-84.58243560791015625
76000000;-74.124725341796875;-89.71131134033203125
78000000;-78.33428955078125;-97.90482330322265625
80000000;-76.3826446533203125;-97.72768402099609375
