Type;FPL1026;
Version;1.90SP1;
Date;03.Jan 2024;
Mode;ANALYZER;
Preamplifier;OFF;
Transducer;OFF;
Center Freq;1016487360.000000;Hz
Freq Offset;0.000000;Hz
Start;75295360.000000;Hz
Stop;1957679360.000000;Hz
Span;1882384000.000000;Hz
Ref Level;0.000000;dBm
Level Offset;0.000000;dB
Rf Att;13.000000;dB
El Att;0.000000;dB
RBW;1000000.000000;Hz
VBW;1000000.000000;Hz
SWT;0.003770;s
Sweep Count;0;
Window;1;Frequency Sweep
Ref Position;100.000000;%
Level Range;100.000000;dB
x-Axis;LIN;
y-Axis;LOG;
x-Unit;Hz;
y-Unit;dBm;
Trace;1;
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Values;1001;
75295360;-65.1149749755859375;-84.50946807861328125
77177744;-64.30947113037109375;-105.10877227783203125
79060128;-73.31915283203125;-104.18012237548828125
80942512;-73.760345458984375;-86.32518768310546875
82824896;-72.12856292724609375;-99.62725830078125
84707280;-75.5120849609375;-92.39968109130859375
86589664;-71.61273956298828125;-106.1496429443359375
88472048;-70.64434051513671875;-85.9708099365234375
90354432;-70.98813629150390625;-88.9317626953125
92236816;-70.463653564453125;-95.653411865234375
94119200;-69.9169921875;-91.37660980224609375
96001584;-74.08770751953125;-97.89688873291015625
97883968;-76.2848663330078125;-90.5912628173828125
99766352;-71.93231201171875;-90.96785736083984375
101648736;-67.80756378173828125;-96.34151458740234375
103531120;-73.21309661865234375;-95.7198944091796875
105413504;-76.00788116455078125;-106.20728302001953125
107295888;-74.89762115478515625;-108.2946624755859375
109178272;-70.7741546630859375;-90.60821533203125
111060656;-71.77140045166015625;-87.624114990234375
112943040;-66.24853515625;-98.886260986328125
114825424;-56.249248504638671875;-68.856536865234375
116707808;-68.57756805419921875;-90.30279541015625
118590192;-67.73194122314453125;-83.75086212158203125
120472576;-71.6513519287109375;-98.08872222900390625
122354960;-70.2006072998046875;-105.9382781982421875
124237344;-75.43682098388671875;-99.46150970458984375
126119728;-73.62534332275390625;-92.08197784423828125
128002112;-72.42905426025390625;-83.182830810546875
129884496;-73.83135986328125;-110.15819549560546875
131766880;-75.979217529296875;-111.97502899169921875
133649264;-72.31250762939453125;-89.9683990478515625
135531648;-75.274017333984375;-83.3609466552734375
