Pavs;PAE;EFF;G;Pout
-10;0.355;0.361;18.137;8.137
-9.9;0.363;0.369;18.138;8.238
-9.8;0.372;0.377;18.138;8.338
-9.7;0.38;0.386;18.139;8.439
-9.6;0.389;0.395;18.139;8.539
-9.5;0.398;0.404;18.14;8.64
-9.4;0.407;0.413;18.141;8.741
-9.3;0.416;0.423;18.141;8.841
-9.2;0.426;0.432;18.142;8.942
-9.1;0.436;0.442;18.142;9.042
-9;0.446;0.452;18.143;9.143
-8.9;0.456;0.463;18.144;9.244
-8.8;0.466;0.473;18.144;9.344
-8.7;0.477;0.484;18.145;9.445
-8.6;0.488;0.495;18.146;9.546
-8.5;0.499;0.507;18.146;9.646
-8.4;0.51;0.518;18.147;9.747
-8.3;0.522;0.53;18.148;9.848
-8.2;0.534;0.542;18.148;9.948
-8.1;0.546;0.555;18.149;10.049
-8;0.559;0.567;18.15;10.15
-7.9;0.571;0.58;18.15;10.25
-7.8;0.584;0.594;18.151;10.351
-7.7;0.598;0.607;18.152;10.452
-7.6;0.611;0.621;18.153;10.553
-7.5;0.625;0.635;18.153;10.653
-7.4;0.64;0.65;18.154;10.754
-7.3;0.654;0.664;18.155;10.855
-7.2;0.669;0.679;18.156;10.956
-7.1;0.684;0.695;18.156;11.056
-7;0.7;0.711;18.157;11.157
-6.9;0.716;0.727;18.158;11.258
-6.8;0.732;0.743;18.159;11.359
-6.7;0.748;0.76;18.159;11.459
-6.6;0.765;0.777;18.16;11.56
-6.5;0.783;0.795;18.161;11.661
-6.4;0.8;0.813;18.162;11.762
-6.3;0.818;0.831;18.162;11.862
-6.2;0.837;0.85;18.163;11.963
-6.1;0.856;0.869;18.164;12.064
-6;0.875;0.889;18.165;12.165
-5.9;0.895;0.909;18.166;12.266
-5.8;0.915;0.929;18.166;12.366
-5.7;0.935;0.95;18.167;12.467
-5.6;0.956;0.971;18.168;12.568
-5.5;0.978;0.993;18.169;12.669
-5.4;1;1.015;18.17;12.77
-5.3;1.022;1.038;18.17;12.87
-5.2;1.045;1.061;18.171;12.971
-5.1;1.068;1.085;18.172;13.072
-5;1.092;1.109;18.173;13.173
-4.9;1.116;1.134;18.173;13.273
-4.8;1.141;1.159;18.174;13.374
-4.7;1.166;1.185;18.175;13.475
-4.6;1.192;1.211;18.176;13.576
-4.5;1.219;1.238;18.176;13.676
-4.4;1.246;1.265;18.177;13.777
-4.3;1.273;1.293;18.178;13.878
-4.2;1.301;1.321;18.179;13.979
-4.1;1.33;1.351;18.179;14.079
-4;1.359;1.38;18.18;14.18
-3.9;1.389;1.411;18.181;14.281
-3.8;1.42;1.441;18.181;14.381
-3.7;1.451;1.473;18.182;14.482
-3.6;1.482;1.505;18.183;14.583
-3.5;1.515;1.538;18.183;14.683
-3.4;1.548;1.572;18.184;14.784
-3.3;1.581;1.606;18.184;14.884
-3.2;1.616;1.641;18.185;14.985
-3.1;1.651;1.676;18.185;15.085
-3;1.686;1.712;18.186;15.186
-2.9;1.723;1.749;18.186;15.286
-2.8;1.76;1.787;18.187;15.387
-2.7;1.798;1.825;18.187;15.487
-2.6;1.836;1.864;18.188;15.588
-2.5;1.875;1.904;18.188;15.688
-2.4;1.915;1.945;18.188;15.788
-2.3;1.956;1.986;18.189;15.889
-2.2;1.998;2.029;18.189;15.989
-2.1;2.04;2.072;18.189;16.089
-2;2.083;2.115;18.19;16.19
-1.9;2.127;2.16;18.19;16.29
-1.8;2.172;2.206;18.19;16.39
-1.7;2.218;2.252;18.19;16.49
-1.6;2.264;2.299;18.19;16.59
-1.5;2.311;2.347;18.19;16.69
-1.4;2.359;2.396;18.19;16.79
-1.3;2.408;2.446;18.19;16.89
-1.2;2.458;2.496;18.19;16.99
-1.1;2.509;2.548;18.19;17.09
-1;2.561;2.6;18.19;17.19
-0.9;2.613;2.654;18.189;17.289
-0.8;2.667;2.708;18.189;17.389
-0.7;2.721;2.763;18.189;17.489
-0.6;2.777;2.819;18.188;17.588
-0.5;2.833;2.876;18.188;17.688
-0.4;2.89;2.935;18.187;17.787
-0.3;2.948;2.994;18.187;17.887
-0.2;3.007;3.054;18.186;17.986
-0.1;3.067;3.115;18.186;18.086
-1.88E-14;3.129;3.177;18.185;18.185
0.1;3.191;3.24;18.184;18.284
0.2;3.254;3.304;18.183;18.383
0.3;3.318;3.369;18.182;18.482
0.4;3.383;3.435;18.181;18.581
0.5;3.449;3.502;18.18;18.68
0.6;3.516;3.57;18.179;18.779
0.7;3.584;3.64;18.178;18.878
0.8;3.654;3.71;18.177;18.977
0.9;3.724;3.781;18.176;19.076
1;3.795;3.854;18.174;19.174
1.1;3.868;3.927;18.173;19.273
1.2;3.941;4.002;18.171;19.371
1.3;4.015;4.078;18.17;19.47
1.4;4.091;4.154;18.168;19.568
1.5;4.168;4.232;18.166;19.666
1.6;4.245;4.311;18.165;19.765
1.7;4.324;4.391;18.163;19.863
1.8;4.404;4.472;18.161;19.961
1.9;4.485;4.554;18.159;20.059
2;4.567;4.638;18.157;20.157
2.1;4.65;4.722;18.155;20.255
2.2;4.734;4.808;18.152;20.352
2.3;4.82;4.894;18.15;20.45
2.4;4.906;4.982;18.148;20.548
2.5;4.993;5.071;18.145;20.645
2.6;5.082;5.161;18.143;20.743
2.7;5.172;5.252;18.14;20.84
2.8;5.263;5.345;18.137;20.937
2.9;5.354;5.438;18.135;21.035
3;5.447;5.533;18.132;21.132
3.1;5.542;5.628;18.129;21.229
3.2;5.637;5.725;18.126;21.326
3.3;5.733;5.823;18.123;21.423
3.4;5.831;5.922;18.12;21.52
3.5;5.929;6.022;18.116;21.616
3.6;6.029;6.123;18.113;21.713
3.7;6.129;6.226;18.11;21.81
3.8;6.231;6.329;18.106;21.906
